x	term	good	error
6.5000000000e+00	1	-3.9270833333e+01	1.8355315874e+02
6.5000000000e+00	2	5.7420052083e+01	2.6592104529e+02
6.5000000000e+00	3	-3.9846374318e+01	1.8622860043e+02
6.5000000000e+00	4	1.7230105063e+01	7.9095323622e+01
6.5000000000e+00	5	-4.6924517899e+00	2.2813183571e+01
6.5000000000e+00	6	1.2449073578e+00	4.7870371271e+00
6.5000000000e+00	7	5.0367243589e-02	7.6586441810e-01
6.5000000000e+00	8	2.3591621354e-01	9.6672678533e-02
6.5000000000e+00	9	2.1299386272e-01	9.8834393989e-03
6.5000000000e+00	10	2.1529974206e-01	8.3559865491e-04
6.5000000000e+00	11	2.1510720569e-01	5.9419838714e-05
6.5000000000e+00	12	2.1512076346e-01	3.6043802119e-06
6.5000000000e+00	13	2.1511994749e-01	1.8874407533e-07
